DISTRICT,PROVINCE,Geometry,Palika,Place,N_ID
Achham,7,Polygon,Gaunpalika,Bannigadi Jayagadh,bannigadi -jayagadh-achh
Achham,7,Polygon,Gaunpalika,Chaurpati,chaurpati-achham
Achham,7,Polygon,Gaunpalika,Dhakari,dhakari-achham
Achham,7,Polygon,Nagarpalika,Kamalbazar,kamalbazar-achham
Achham,7,Polygon,national-park,Khaptad National Park,khaptad -national -park-
Achham,7,Polygon,Nagarpalika,Mangalsen,mangalsen-achham
Achham,7,Polygon,Gaunpalika,Mellekh,mellekh-achham
Achham,7,Polygon,Nagarpalika,Panchadewal Binayak,panchadewal -binayak-ach
Achham,7,Polygon,Gaunpalika,Ramaroshan,ramaroshan-achham
Achham,7,Polygon,Nagarpalika,Sanphebagar,sanphebagar-achham
Achham,7,Polygon,Gaunpalika,Turmakhad,turmakhad-achham
Arghakhanchi,5,Polygon,Nagarpalika,Bhumikasthan,bhumikasthan-arghakhanch
Arghakhanchi,5,Polygon,Gaunpalika,Chattradev,chattradev-arghakhanchi
Arghakhanchi,5,Polygon,Gaunpalika,Malarani,malarani-arghakhanchi
Arghakhanchi,5,Polygon,Gaunpalika,Panini,panini-arghakhanchi
Arghakhanchi,5,Polygon,Nagarpalika,Sandhikharka,sandhikharka-arghakhanch
Arghakhanchi,5,Polygon,Nagarpalika,Sitaganga,sitaganga-arghakhanchi
Baglung,4,Polygon,Gaunpalika,Badigad,badigad-baglung
Baglung,4,Polygon,Nagarpalika,Baglung,baglung-baglung
Baglung,4,Polygon,Nagarpalika,Dhorpatan,dhorpatan-baglung
Baglung,4,Polygon,hungint-reserve,Dhorpatan Hunting Reserve,dhorpatan -hunting -rese
Baglung,4,Polygon,Nagarpalika,Galkot,galkot-baglung
Baglung,4,Polygon,Nagarpalika,Jaimuni,jaimuni-baglung
Baglung,4,Polygon,Gaunpalika,Kathekhola,kathekhola-baglung
Baglung,4,Polygon,Gaunpalika,Nisikhola,nisikhola-baglung
Baglung,4,Polygon,Gaunpalika,Tamankhola,tamankhola-baglung
Baglung,4,Polygon,Gaunpalika,Tarakhola,tarakhola-baglung
Baglung,4,Polygon,Gaunpalika,Woreng,woreng-baglung
Baitadi,7,Polygon,Nagarpalika,Dasarathchand,dasarathchand-baitadi
Baitadi,7,Polygon,Gaunpalika,Dilasaini,dilasaini-baitadi
Baitadi,7,Polygon,Gaunpalika,Dogadakedar,dogadakedar-baitadi
Baitadi,7,Polygon,Nagarpalika,Melauli,melauli-baitadi
Baitadi,7,Polygon,Gaunpalika,Pancheswar,pancheswar-baitadi
Baitadi,7,Polygon,Nagarpalika,Patan,patan-baitadi
Baitadi,7,Polygon,Nagarpalika,Purchaudi,purchaudi-baitadi
Baitadi,7,Polygon,Gaunpalika,Shivanath,shivanath-baitadi
Baitadi,7,Polygon,Gaunpalika,Sigas,sigas-baitadi
Baitadi,7,Polygon,Gaunpalika,Surnaya,surnaya-baitadi
Bajhang,7,Polygon,Gaunpalika,Bithadchir,bithadchir-bajhang
Bajhang,7,Polygon,Nagarpalika,Bungal,bungal-bajhang
Bajhang,7,Polygon,Gaunpalika,Chabispathivera,chabispathivera-bajhang
Bajhang,7,Polygon,Gaunpalika,Durgathali,durgathali-bajhang
Bajhang,7,Polygon,Nagarpalika,Jayaprithivi,jayaprithivi-bajhang
Bajhang,7,Polygon,Gaunpalika,Kanda,kanda-bajhang
Bajhang,7,Polygon,Gaunpalika,Kedarseu,kedarseu-bajhang
